setting,group,method,split,stationary_error,nonstationary_error
1,data_160_10_space,random,"(2, 2, 2)",1.1993311046455202,1.1863509681238575
1,data_160_10_space,random,"(3, 3, 3)",1.1993311046455202,1.1863509681238575
1,data_160_10_space,random,"(4, 4, 4)",1.1993311046455202,1.1863509681238578
1,data_160_10_space,stcomb,"(2, 2, 2)",0.6896394504695652,0.6572951495818574
1,data_160_10_space,stcomb,"(3, 3, 3)",0.016870591,0.01011638
1,data_160_10_space,stcomb,"(4, 4, 4)",0.026382383,0.017464222
1,data_160_10_space,stlcor,"(2, 2, 2)",1.5115656272218074,1.4840510224557033
1,data_160_10_space,stlcor,"(3, 3, 3)",1.646958569246049,1.6116308166195246
1,data_160_10_space,stlcor,"(4, 4, 4)",1.7094429432074183,1.6817469967276952
1,data_160_10_space,stsave,"(2, 2, 2)",0.6666038033553234,0.6311325153022115
1,data_160_10_space,stsave,"(3, 3, 3)",0.034397277,0.020955283
1,data_160_10_space,stsave,"(4, 4, 4)",0.2059560816435288,0.1709130195358099
1,data_160_10_space,stsir,"(2, 2, 2)",0.7233540595065718,0.6924972304706016
1,data_160_10_space,stsir,"(3, 3, 3)",0.021500252,0.013540601
1,data_160_10_space,stsir,"(4, 4, 4)",0.02858538,0.019085413
1,data_160_10_space_time,random,"(2, 2, 2)",1.2085355396117905,1.2017735365924247
1,data_160_10_space_time,random,"(3, 3, 3)",1.2085355396117905,1.2017735365924245
1,data_160_10_space_time,random,"(4, 4, 4)",1.2085355396117905,1.2017735365924247
1,data_160_10_space_time,stcomb,"(2, 2, 2)",0.794235479,0.7781268583547722
1,data_160_10_space_time,stcomb,"(3, 3, 3)",0.017884809,0.012347638
1,data_160_10_space_time,stcomb,"(4, 4, 4)",0.052047439,0.042602921
1,data_160_10_space_time,stlcor,"(2, 2, 2)",1.542543075950065,1.530673952670982
1,data_160_10_space_time,stlcor,"(3, 3, 3)",1.188262103840153,1.1762057839330649
1,data_160_10_space_time,stlcor,"(4, 4, 4)",1.352790486863883,1.3365024812575688
1,data_160_10_space_time,stsave,"(2, 2, 2)",0.7883971385945957,0.7714060700256757
1,data_160_10_space_time,stsave,"(3, 3, 3)",0.04016854,0.030552703
1,data_160_10_space_time,stsave,"(4, 4, 4)",0.3530093002049387,0.3303325082154288
1,data_160_10_space_time,stsir,"(2, 2, 2)",0.7644449433616383,0.7478842248541752
1,data_160_10_space_time,stsir,"(3, 3, 3)",0.023153633,0.016555596
1,data_160_10_space_time,stsir,"(4, 4, 4)",0.048345599,0.038922191
1,data_160_10_time,random,"(2, 2, 2)",1.2006648310206496,1.197864784929442
1,data_160_10_time,random,"(3, 3, 3)",1.2006648310206496,1.197864784929442
1,data_160_10_time,random,"(4, 4, 4)",1.2006648310206496,1.197864784929442
1,data_160_10_time,stcomb,"(2, 2, 2)",0.072662981,0.038762801
1,data_160_10_time,stcomb,"(3, 3, 3)",0.053940703,0.017754609
1,data_160_10_time,stcomb,"(4, 4, 4)",0.066395787,0.029522907
1,data_160_10_time,stlcor,"(2, 2, 2)",0.094188058,0.062096475
1,data_160_10_time,stlcor,"(3, 3, 3)",0.1029874458579826,0.070089776
1,data_160_10_time,stlcor,"(4, 4, 4)",0.080876357,0.044426191
1,data_160_10_time,stsave,"(2, 2, 2)",0.1257281888647759,0.095086134
1,data_160_10_time,stsave,"(3, 3, 3)",0.055796053,0.020328515
1,data_160_10_time,stsave,"(4, 4, 4)",0.1436549908277029,0.1124424318054205
